org,proyecto,usuario,avatar_url,pr_number,pr_title,merged_at,merged_date,url,additions,deletions,changed_lines
dogecoin,dogecoin,rnicoll,https://avatars.githubusercontent.com/u/3513077?v=4,1206,Add Scrypt hash and AuxPoW header to index database,2015-07-30T18:33:39Z,2015-07-30,https://github.com/dogecoin/dogecoin/pull/1206,,,
dogecoin,dogecoin,rnicoll,https://avatars.githubusercontent.com/u/3513077?v=4,1208,Remove hard coded switch on whether simplified rewards are used.,2015-07-29T17:29:24Z,2015-07-29,https://github.com/dogecoin/dogecoin/pull/1208,,,
dogecoin,dogecoin,langerhans,https://avatars.githubusercontent.com/u/5160000?v=4,1212,Update .travis.yml to make use of the new container based infrastructure,2015-07-29T17:21:49Z,2015-07-29,https://github.com/dogecoin/dogecoin/pull/1212,,,
dogecoin,dogecoin,rnicoll,https://avatars.githubusercontent.com/u/3513077?v=4,1210,Minor AuxPoW fixes,2015-07-29T17:19:27Z,2015-07-29,https://github.com/dogecoin/dogecoin/pull/1210,,,
dogecoin,dogecoin,rnicoll,https://avatars.githubusercontent.com/u/3513077?v=4,1205,Use block height 0 when checking for genesis block,2015-07-27T22:30:28Z,2015-07-27,https://github.com/dogecoin/dogecoin/pull/1205,,,
dogecoin,dogecoin,rnicoll,https://avatars.githubusercontent.com/u/3513077?v=4,1201,Consensus fixes,2015-07-20T13:03:02Z,2015-07-20,https://github.com/dogecoin/dogecoin/pull/1201,,,
dogecoin,dogecoin,rnicoll,https://avatars.githubusercontent.com/u/3513077?v=4,1200,Add AuxPoW support,2015-07-11T12:41:33Z,2015-07-11,https://github.com/dogecoin/dogecoin/pull/1200,,,
dogecoin,dogecoin.com,Kirvx,https://avatars.githubusercontent.com/u/6627786?v=4,93,Update fr.json,2015-07-08T17:51:02Z,2015-07-08,https://github.com/dogecoin/dogecoin.com/pull/93,,,
dogecoin,dogecoin,patricklodder,https://avatars.githubusercontent.com/u/1410115?v=4,1199,[tests] fix partition alerts for Dogecoin,2015-07-05T15:56:59Z,2015-07-05,https://github.com/dogecoin/dogecoin/pull/1199,,,
dogecoin,dogecoin,rnicoll,https://avatars.githubusercontent.com/u/3513077?v=4,1198,Further unit test corrections,2015-07-05T10:46:24Z,2015-07-05,https://github.com/dogecoin/dogecoin/pull/1198,,,
dogecoin,dogecoin,patricklodder,https://avatars.githubusercontent.com/u/1410115?v=4,1194,"[tests] use dogecoin fixtures, pt1",2015-07-03T23:02:58Z,2015-07-03,https://github.com/dogecoin/dogecoin/pull/1194,,,
dogecoin,gitian.sigs,stapler117,https://avatars.githubusercontent.com/u/1285312?v=4,12,stapler117 gitian sigs,2015-07-03T15:59:12Z,2015-07-03,https://github.com/dogecoin/gitian.sigs/pull/12,,,
dogecoin,dogecoin,langerhans,https://avatars.githubusercontent.com/u/5160000?v=4,1191,Release prep for 1.8.3,2015-06-30T18:18:05Z,2015-06-30,https://github.com/dogecoin/dogecoin/pull/1191,,,
dogecoin,dogecoin,rnicoll,https://avatars.githubusercontent.com/u/3513077?v=4,1190,Backport Bitcoin Core 0.10.x P2P changes to Dogecoin 1.8.3,2015-06-29T17:53:22Z,2015-06-29,https://github.com/dogecoin/dogecoin/pull/1190,,,
dogecoin,dogecoin,rnicoll,https://avatars.githubusercontent.com/u/3513077?v=4,1189,Added Digishield support and unit tests,2015-06-29T09:02:24Z,2015-06-29,https://github.com/dogecoin/dogecoin/pull/1189,,,
dogecoin,dogecoin,rnicoll,https://avatars.githubusercontent.com/u/3513077?v=4,1188,Add Dogecoin block subsidy calculations,2015-06-28T18:42:03Z,2015-06-28,https://github.com/dogecoin/dogecoin/pull/1188,,,
dogecoin,dogecoin,rnicoll,https://avatars.githubusercontent.com/u/3513077?v=4,1187,Scrypt PoW,2015-06-28T16:59:58Z,2015-06-28,https://github.com/dogecoin/dogecoin/pull/1187,,,
dogecoin,dogecoin,patricklodder,https://avatars.githubusercontent.com/u/1410115?v=4,1184,port dogecoin base chainparams,2015-06-28T11:37:31Z,2015-06-28,https://github.com/dogecoin/dogecoin/pull/1184,,,
dogecoin,dogecoin,langerhans,https://avatars.githubusercontent.com/u/5160000?v=4,1182,Update dependencies and BDB,2015-06-28T10:10:03Z,2015-06-28,https://github.com/dogecoin/dogecoin/pull/1182,,,
dogecoin,dogecoin,patricklodder,https://avatars.githubusercontent.com/u/1410115?v=4,1181,Sync readme from 1.9-dev,2015-06-24T21:07:47Z,2015-06-24,https://github.com/dogecoin/dogecoin/pull/1181,,,
dogecoin,dogecoin,rnicoll,https://avatars.githubusercontent.com/u/3513077?v=4,1130,Introduce AuxPoW unit tests from Namecoin,2015-06-21T20:17:04Z,2015-06-21,https://github.com/dogecoin/dogecoin/pull/1130,,,
dogecoin,dogecoin,Sporklin,https://avatars.githubusercontent.com/u/7656263?v=4,1168,Add detailed network info to getnetworkinfo RPC,2015-06-21T19:42:55Z,2015-06-21,https://github.com/dogecoin/dogecoin/pull/1168,,,
dogecoin,dogecoin,Sporklin,https://avatars.githubusercontent.com/u/7656263?v=4,1167,Fix feeestimate,2015-06-21T19:34:13Z,2015-06-21,https://github.com/dogecoin/dogecoin/pull/1167,,,
dogecoin,dogecoin,Sporklin,https://avatars.githubusercontent.com/u/7656263?v=4,1138,univalue: make spaceStr thread-safe,2015-06-21T18:31:55Z,2015-06-21,https://github.com/dogecoin/dogecoin/pull/1138,,,
dogecoin,dogecoin,Sporklin,https://avatars.githubusercontent.com/u/7656263?v=4,1137,"[Qt] copyright, style and indentation cleanup of Qt tests",2015-06-21T18:30:10Z,2015-06-21,https://github.com/dogecoin/dogecoin/pull/1137,,,
dogecoin,dogecoin,Sporklin,https://avatars.githubusercontent.com/u/7656263?v=4,1143,Move g_signals.SetBestChain(..) below SyncWithWallets,2015-06-21T18:25:22Z,2015-06-21,https://github.com/dogecoin/dogecoin/pull/1143,,,
dogecoin,dogecoin,Sporklin,https://avatars.githubusercontent.com/u/7656263?v=4,1145,"Bugfix: bitcoin-tx: scriptPubKey may be null, so accept outscript=<n>:",2015-06-21T18:21:44Z,2015-06-21,https://github.com/dogecoin/dogecoin/pull/1145,,,
dogecoin,dogecoin,Sporklin,https://avatars.githubusercontent.com/u/7656263?v=4,1135,1.9 dev addmissingheaderscopyright,2015-06-21T18:08:48Z,2015-06-21,https://github.com/dogecoin/dogecoin/pull/1135,,,
dogecoin,dogecoin,Sporklin,https://avatars.githubusercontent.com/u/7656263?v=4,1139,add missing header end comments,2015-06-21T18:08:04Z,2015-06-21,https://github.com/dogecoin/dogecoin/pull/1139,,,
dogecoin,dogecoin,Sporklin,https://avatars.githubusercontent.com/u/7656263?v=4,1141,Fix build with DEBUG_LOCKORDER,2015-06-21T18:07:17Z,2015-06-21,https://github.com/dogecoin/dogecoin/pull/1141,,,
